,Código del Set,Nombre del Set,Año de Lanzamiento,PVP $,Precio como Nuevo $,Porcentaje como nuevo
0,10123,Cloud City,2003,100.0,9487.478000000001,9387.48
1,,Clone Wars (SDCC 2008 exclusive),,75.99,5102.515,6614.72
2,10026,Special Edition Naboo Starfighter,2002,39.99,2357.8720000000003,5796.15
3,2853590,Stormtrooper,2010,2.99,162.382,5330.84
4,65153,Jango Fett's Slave I with Bonus Cargo Case,2002,50.0,2117.8520000000003,4135.7
5,3341,"Star Wars #2 - Luke Skywalker, Han Solo and Boba Fett",2000,5.0,168.38800000000003,3267.76
6,3340,"Star Wars #1 - Emperor Palpatine, Darth Maul and Darth Vader",2000,5.0,167.27700000000002,3245.54
7,,Collectable Display Set 2,,49.99,1275.6260000000002,2451.76
8,4476,Jabba's Prize,2003,7.0,135.828,1840.4
9,10018,Darth Maul,2001,149.99,2850.4740000000006,1800.44
